Transfer ID,Transfer Value,Sender ID,Receiver ID,Comment,Factor,SCW new of receiver,SCW old of receiver,Topic ID
364,50,140,139,Hi I transferred you credit.,0.005,1.25,1,2
365,100,135,135, ,1,1,1,7
366,-25,18,27,25,0.005,1,1,5
367,25,27,18,25,0.005,1.15,1.025,5
368,-25,19,27,25,0.005,1,1,5
369,25,27,19,25,0.005,1.125,1,5
370,-50,35,27,another 50,0.005,1,1,4
371,50,27,35,another 50,0.005,1.25,1,4
372,100,141,141, ,1,1,1,7
373,100,142,142, ,1,1,0,1
374,100,142,142, ,1,1,1,7
375,-1,24,142,comment,0.005,1,1,2
376,1,142,24,comment,0.005,1.005,1,2
377,100,143,143, ,1,1,0,1
378,100,143,143, ,1,1,1,7
379,100,106,106, ,1,1,1,7
380,100,144,144, ,1,1,0,1
381,100,144,144, ,1,1,1,7
382,100,145,145, ,1,1,0,1
383,-10,52,126,Thanks for leaving your honest drinking habbit :),0.005,1,1,4
384,10,126,52,Thanks for leaving your honest drinking habbit :),0.005,1.05,1,4
385,-10,55,126,Thanks for leaving your honest drinking habbit,0.005,1,1,4
386,10,126,55,Thanks for leaving your honest drinking habbit,0.005,1.05,1,4
387,-10,44,126,Thanks for leaving your honest drinking habbits,0.005,1,1,4
388,10,126,44,Thanks for leaving your honest drinking habbits,0.005,1.05,1,4
389,-50,72,44,Writes intelligent comments.,0.005,1,1,1
390,50,44,72,Writes intelligent comments.,0.005,1.25,1,1
391,100,110,110, ,1,1,1,7
392,100,146,146, ,1,1,0,1
393,100,145,145, ,1,1,1,7
394,100,147,147, ,1,1,0,1
395,100,148,148, ,1,1,0,1
396,100,147,147, ,1,1,1,7
397,100,149,149, ,1,1,0,1
398,100,150,150, ,1,1,0,1
399,100,149,149, ,1,1,1,7
400,100,59,59, ,1,1,1,7
401,100,150,150, ,1,1,1,7
402,-10,94,150,Für deine ausgezeichnete Arbeit.,0.005,1,1,3
403,10,150,94,Für deine ausgezeichnete Arbeit.,0.005,1.05,1,3
404,100,151,151, ,1,1,0,1
405,100,152,152, ,1,1,0,1
406,100,148,148, ,1,1,1,7
407,100,152,152, ,1,1,1,7
408,-10,55,152,yrg3o 3al gazma el adema,0.005,1,1,6
409,10,152,55,yrg3o 3al gazma el adema,0.005,1.05,1,6
410,100,153,153, ,1,1,0,1
411,100,154,154, ,1,1,0,1
412,100,26,26, ,1,1,1,7
413,100,154,154, ,1,1,1,7
414,100,153,153, ,1,1,1,7
415,100,155,155, ,1,1,0,1
416,100,156,156, ,1,1,0,1
417,100,155,155, ,1,1,1,7
418,-70,123,155,For your blog post about hiking,0.005,1,1,2
419,70,155,123,For your blog post about hiking,0.005,1.35,1,2
420,100,128,128, ,1,1,1,7
421,100,156,156, ,1,1,1,7
422,100,157,157, ,1,1,0,1
423,-60,72,106,<3,0.005,1,1,6
424,60,106,72,<3,0.005,1.68,1.38,6
425,100,157,157, ,1,1,1,7
426,-1,113,157,schön brav die afd wählen,0.005,1,1,1
427,1,157,113,schön brav die afd wählen,0.005,1.005,1,1
428,-1,36,157,schön brav die afd wählen,0.005,1,1,1
429,1,157,36,schön brav die afd wählen,0.005,1.005,1,1
430,-50,110,128,For starting a topic which I could comment on :P,0.005,1,1,2
431,50,128,110,For starting a topic which I could comment on :P,0.005,1.255,1.005,2
432,100,158,158, ,1,1,0,1
433,100,158,158, ,1,1,1,7
434,-5,110,118,Asian food in Munich,0.005,1,1,2
435,5,118,110,Asian food in Munich,0.005,1.28,1.255,2
436,100,159,159, ,1,1,0,1
437,100,159,159, ,1,1,1,7
438,100,160,160, ,1,1,0,1
439,100,161,161, ,1,1,0,1
